,Unnamed: 0,Institution,Postal Code,City,Province,Type,Avg EC,Avg NG,postal_code,country code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
0,0,University of Toronto - St. George Campus,M5S 2R7,Toronto,ON,U,114.67,40.95,M5S,CA,Downtown Toronto (University of Toronto / Harbord),Ontario,ON,Toronto,8133394.0,,,43.6629,-79.3987,6.0
1,1,University of Toronto - Scarborough,M1C 1A4,Scarborough,ON,U,114.67,40.95,M1C,CA,Scarborough (Rouge Hill / Port Union / Highland Creek),Ontario,ON,Scarborough,,,,43.7878,-79.1564,6.0
2,2,University of Toronto - Mississauga,L5L 1C6,Mississauga,ON,U,108.614,41.948,L5L,CA,Mississauga (Erin Mills / Western Business Park),Ontario,ON,Mississauga,,,,43.5373,-79.6903,6.0
3,3,University of Ontario Institute of Technology,L1H 7K4,Oshawa,ON,U,107.87,41.948,L1H,CA,Oshawa Southeast,Ontario,ON,Oshawa,,,,43.9721,-78.8837,1.0
4,4,Western University,N6A 3K7,London,ON,U,107.26,41.948,N6A,CA,London North (UWO),Ontario,ON,London,,,,42.9976,-81.2563,6.0
5,5,Queen's University,K7L 3N6,Kingston,ON,U,109.8,41.948,K7L,CA,Kingston (Downtown),Ontario,ON,Kingston,,,,44.2955,-76.428,1.0
6,6,University of Waterloo,N2L 3G1,Waterloo,ON,U,110.66,40.055,N2L,CA,Waterloo South,Ontario,ON,Waterloo,,,,43.4715,-80.5454,1.0
7,7,McMaster University,L8S 4L8,Hamilton,ON,U,108.614,41.948,L8S,CA,Hamilton (Westdale / Cootes Paradise / Ainslie Wood),Ontario,ON,Hamilton,5969784.0,,,43.2606,-79.9161,6.0
8,8,York University,M3J 1P3,Toronto,ON,U,114.67,40.95,M3J,CA,North York (Northwood Park / York University),Ontario,ON,North York ,,,,43.7694,-79.4921,1.0
9,10,University of Guelph,N1G 2W1,Guelph,ON,U,108.79,40.95,N1G,CA,Guelph Central,Ontario,ON,Guelph,,,,43.5184,-80.2257,1.0
10,11,University of Ottawa,K1N 6N5,Ottawa,ON,U,108.79,40.95,K1N,CA,Ottawa (Lower Town / Sandy Hill / University of Ottawa),Ontario,ON,Ottawa,8581623.0,,,45.4289,-75.6844,6.0
11,12,Carleton University,K1S 5B6,Ottawa,ON,U,107.88,41.948,K1S,CA,Ottawa (The Glebe / Ottawa South / Ottawa East),Ontario,ON,Ottawa,8581623.0,,,45.399,-75.6871,6.0
12,13,Laurentian University,P3E 2C6,Sudbury,ON,U,108.614,41.948,P3E,CA,Greater Sudbury (Robinson / Lockerby),Ontario,ON,Greater Sudbury ,,,,46.2676,-80.9063,6.0
13,14,Brock University,L2S 3A1,Catharines,On,U,110.21,40.95,L2S,CA,St. Catharines Southwest,Ontario,ON,St. Catharines ,,,,43.1447,-79.2634,1.0
14,15,Nipissing University,P1B 8L7,North Bay,ON,U,110.66,40.055,P1B,CA,North Bay Central,Ontario,ON,North Bay ,,,,46.3364,-79.583,1.0
15,17,Wilfrid Laurier University,N2L 3C5,Waterloo,ON,U,114.67,40.95,N2L,CA,Waterloo South,Ontario,ON,Waterloo,,,,43.4715,-80.5454,1.0
16,18,University of Windsor,N9B 3P4,Windsor,ON,U,114.67,40.95,N9B,CA,Windsor (University / South Cameron),Ontario,ON,Windsor,,,,42.2949,-83.052,1.0
17,19,Seneca - Newnham Campus,M2J 2X5,Toronto,ON,C,124.32714285714285,41.948,M2J,CA,North York (Fairview / Henry Farm / Oriole),Ontario,ON,North York ,,,,43.7801,-79.3479,6.0
18,20,Seneca - @ York,M3J 3M6,Toronto,ON,C,108.614,41.948,M3J,CA,North York (Northwood Park / York University),Ontario,ON,North York ,,,,43.7694,-79.4921,1.0
19,21,Seneca - King Campus,L7B 1B3,King,ON,C,124.32714285714285,41.948,L7B,CA,King City,Ontario,ON,,,,,43.9286,-79.5269,4.0
20,22,Seneca - Markham Campus,L3R 5Y1,Markham,ON,C,114.67,40.95,L3R,CA,Markham Outer Southwest,Ontario,ON,Markham,,,,43.8479,-79.3288,1.0
21,23,Seneca - Peterborough Campus,K9J 0E7,Peterborough,ON,C,114.67,40.95,K9J,CA,Peterborough South,Ontario,ON,Peterborough,,,,44.3104,-78.2396,5.0
22,24,Seneca - Downtown,M5L 1E2,Toronto, ON,C,111.73,41.948,M5L,CA,Downtown Toronto (Commerce Court / Victoria Hotel),Ontario,ON,Toronto,8133394.0,,,43.6492,-79.3823,
