Institution,Postal Code,City,Province,Type
University of Toronto - St. George Campus,M5S 2R7,Toronto,ON,U
University of Toronto - Scarborough,M1C 1A4,Scarborough,ON,U
University of Toronto - Mississauga,L5L 1C6,Mississauga,ON,U
University of Ontario Institute of Technology,L1H 7K4,Oshawa,ON,U
Western University,N6A 3K7,London,ON,U
Queen's University,K7L 3N6,Kingston,ON,U
University of Waterloo,N2L 3G1,Waterloo,ON,U
McMaster University,L8S 4L8,Hamilton,ON,U
York University,M3J 1P3,Toronto,ON,U
Ryerson University,M5B 2K3,ON,U
University of Guelph,N1G 2W1,Guelph,ON,U
University of Ottawa,K1N 6N5,Ottawa,ON,U
Carleton University,K1S 5B6,Ottawa,ON,U
Laurentian University,P3E 2C6,Sudbury,ON,U
Brock University,L2S 3A1,Catharines,On,U
Nipissing University,P1B 8L7,North Bay,ON,U
Trent UniversityL1J 5Y1,Oshawa,ON,U
Wilfrid Laurier University,N2L 3C5,Waterloo,ON,U
University of Windsor,N9B 3P4,Windsor,ON,U
Seneca - Newnham Campus,M2J 2X5,Toronto,ON,C
Seneca - @ York,M3J 3M6,Toronto,ON,C
Seneca - King Campus,L7B 1B3,King,ON,C
Seneca - Markham Campus,L3R 5Y1,Markham,ON,C
Seneca - Peterborough Campus,K9J 0E7,Peterborough,ON,C
Seneca - Downtown,M5L 1E2,Toronto, ON,C
Seneca - Yorkgate Campus,M3N 3A1,North York,ON,C
Sheridan - Trafalgar Road Campus,L6H 2L1,Oakville,ON,C
Sheridan - Hazel McCallion Campus,L5B 0G5,Mississauga,C
Sheridan - Davis Campus,L6Y 5H9,Brampton,ON,C
Humber - North Campus,M9W 5L7,Toronto,ON,C
Humber - Lakeshore Campus,M8V 4B6,Toronto,ON,C
Humber - Orangeville Campus,L9W 5A9,Orangeville,ON,C
George Brown - Casa Loma Campus,M5R 1M3,Toronto,ON,C
George Brown - St. James Campus,M5A 3W8,Toronto,ON,C
George Brown - Waterfront Campus,M5E 3Y5,Toronto,ON,C
Niagara - Welland,L3C 7L3,Welland,ON,C
Niagara - Niagara On The Lake,L0S 1J0,Niagara-on-the-Lake,ON,C
Mohawk - Fennell Campus,L9C 0E5,Hamilton,ON,C
Mohawk - Stoney Creek Campus,L8E 2L7,Stoney Creek,ON,C
Mohawk - Institute for Applied Health Sciences at McMaster,L8S 1C7,Hamilton,ON,C
Fanshawe - London Campus,N5Y 5R6,London,ON,C
Fanshawe - Aviation Centre,N5V 3S4,London,ON,C
Fanshawe - Centre for Applied Transportation Technologies,N5V 3R6,London,ON,C
Fanshawe - London South Campus,N6E 3W5,London,ON,C
Fanshawe - School of Digital and Performing Arts,N6A 1E9,London,ON,C
Fanshawe - School of Information Technology/School of Tourism Hospitality and Culinary Arts,N6A 1G2,London,ON,C
Fanshawe - Academic Upgrading and Community Employment Services,N6A 6E2,London,ON,C
Lambton - Main Campus,N7S 6K4,Sarnia,ON,C
Lambton - Toronto Campus,M2J 1S5,Toronto,ON,C
Algonquin - Ottawa Campus,K2G 1V8,Nepean,ON,C
Algonquin - Pembroke,K8A 0C8,Pembroke,ON,C
Algonquin - Perth,K7H 1X7,Perth,ON,C
Cambrian - Barrydowne Campus,P3A 3V8,Sudbury,ON,C
Cambrian - Manitoulin Campus,POP 1KO,Little Current,ON,C
Cambrian - Espanola Campus,P5E 1S6,Espanola,ON,C
Canadore - College Drive Campus,P1B 8K9,North Bay,ON,C
Canadore - West Parry Sound Campus,P2A 0A9,Parry Sound,ON,C
Canadore - Stanford Scarborough Campus,M1G 3T5,Scarborough,ON,C
Canadore - Stanford Mississauga Campus,L4W 1K4,Mississauga,ON,C
Canadore - Stanford Brampton Campus,L6S 6B5,Brampton,ON,C
Canadore - Stanford Toronto Campus,M3B 2R2,Toronto,ON,C
College Boreal,,,
Confederation,,,
Michener Institute,,,
Ridgetown Campus,,,
St. Clair,,,
St. Lawrence,,,
Sault,,,
Northern,,,
La Cite,,,
Loyalist,,,
Georgian,,,
Fleming,,,
Durham,,,
Cambrian,,,
Centennial,,,
Conestoga,,,
